"","population","sample","validation","training","N","id","RefNum","alpha","beta","pe","biasFun","chance","percent","kappa"
"1",0.45250625,0.3859875,0.364583333333333,0.541666666666667,3,1,32,3,4.5,0.0368255366524681,"zipf",0.04541015625,0.440466101694915,0.413848888118254
"2",0.45250625,0.38498125,0.328125,0.4921875,4,1,32,3,4.5,0.0368255366524681,"zipf",0.04541015625,0.440466101694915,0.413848888118254
"3",0.45250625,0.41566875,0.4,0.49375,5,1,32,3,4.5,0.0368255366524681,"zipf",0.04541015625,0.440466101694915,0.413848888118254
"4",0.45250625,0.39951875,0.34375,0.458333333333333,6,1,32,3,4.5,0.0368255366524681,"zipf",0.04541015625,0.440466101694915,0.413848888118254
"5",0.45250625,0.412640625,0.375,0.450892857142857,7,1,32,3,4.5,0.0368255366524681,"zipf",0.04541015625,0.440466101694915,0.413848888118254
"6",0.45250625,0.415821875,0.39453125,0.45703125,8,1,32,3,4.5,0.0368255366524681,"zipf",0.04541015625,0.440466101694915,0.413848888118254
"7",0.45250625,0.418325,0.392361111111111,0.458333333333333,9,1,32,3,4.5,0.0368255366524681,"zipf",0.04541015625,0.440466101694915,0.413848888118254
"8",0.45250625,0.41036875,0.40625,0.459375,10,1,32,3,4.5,0.0368255366524681,"zipf",0.04541015625,0.440466101694915,0.413848888118254
"9",0.45250625,0.417225,0.386363636363636,0.451704545454545,11,1,32,3,4.5,0.0368255366524681,"zipf",0.04541015625,0.440466101694915,0.413848888118254
"10",0.45250625,0.4088625,0.390625,0.450520833333333,12,1,32,3,4.5,0.0368255366524681,"zipf",0.04541015625,0.440466101694915,0.413848888118254
"11",0.45250625,0.4304375,0.391826923076923,0.454326923076923,13,1,32,3,4.5,0.0368255366524681,"zipf",0.04541015625,0.440466101694915,0.413848888118254
"12",0.45250625,0.414390625,0.399553571428571,0.453125,14,1,32,3,4.5,0.0368255366524681,"zipf",0.04541015625,0.440466101694915,0.413848888118254
"13",0.45250625,0.41724375,0.40625,0.45625,15,1,32,3,4.5,0.0368255366524681,"zipf",0.04541015625,0.440466101694915,0.413848888118254
"14",0.45250625,0.431003125,0.41015625,0.45703125,16,1,32,3,4.5,0.0368255366524681,"zipf",0.04541015625,0.440466101694915,0.413848888118254
"15",0.45250625,0.41943125,0.398897058823529,0.459558823529412,17,1,32,3,4.5,0.0368255366524681,"zipf",0.04541015625,0.440466101694915,0.413848888118254
"16",0.45250625,0.42491875,0.416666666666667,0.456597222222222,18,1,32,3,4.5,0.0368255366524681,"zipf",0.04541015625,0.440466101694915,0.413848888118254
"17",0.45250625,0.424825,0.409539473684211,0.457236842105263,19,1,32,3,4.5,0.0368255366524681,"zipf",0.04541015625,0.440466101694915,0.413848888118254
"18",0.45250625,0.424921875,0.4140625,0.4578125,20,1,32,3,4.5,0.0368255366524681,"zipf",0.04541015625,0.440466101694915,0.413848888118254
"19",0.45250625,0.4300625,0.422619047619048,0.458333333333333,21,1,32,3,4.5,0.0368255366524681,"zipf",0.04541015625,0.440466101694915,0.413848888118254
"20",0.45250625,0.445121875,0.431818181818182,0.457386363636364,22,1,32,3,4.5,0.0368255366524681,"zipf",0.04541015625,0.440466101694915,0.413848888118254
"21",0.45250625,0.444365625,0.433423913043478,0.459239130434783,23,1,32,3,4.5,0.0368255366524681,"zipf",0.04541015625,0.440466101694915,0.413848888118254
"22",0.45250625,0.43381875,0.4296875,0.4609375,24,1,32,3,4.5,0.0368255366524681,"zipf",0.04541015625,0.440466101694915,0.413848888118254
"23",0.45250625,0.4480625,0.43375,0.4625,25,1,32,3,4.5,0.0368255366524681,"zipf",0.04541015625,0.440466101694915,0.413848888118254
"24",0.45250625,0.4345375,0.443509615384615,0.467548076923077,26,1,32,3,4.5,0.0368255366524681,"zipf",0.04541015625,0.440466101694915,0.413848888118254
"25",0.45250625,0.4478375,0.445601851851852,0.46875,27,1,32,3,4.5,0.0368255366524681,"zipf",0.04541015625,0.440466101694915,0.413848888118254
"26",0.45250625,0.446940625,0.449776785714286,0.466517857142857,28,1,32,3,4.5,0.0368255366524681,"zipf",0.04541015625,0.440466101694915,0.413848888118254
"27",0.45250625,0.449503125,0.451508620689655,0.467672413793103,29,1,32,3,4.5,0.0368255366524681,"zipf",0.04541015625,0.440466101694915,0.413848888118254
"28",0.45250625,0.448559375,0.453125,0.46875,30,1,32,3,4.5,0.0368255366524681,"zipf",0.04541015625,0.440466101694915,0.413848888118254
"29",0.45250625,0.45123125,0.467741935483871,0.474798387096774,31,1,32,3,4.5,0.0368255366524681,"zipf",0.04541015625,0.440466101694915,0.413848888118254
"30",0.45250625,0.452234375,0.466796875,0.4716796875,32,1,32,3,4.5,0.0368255366524681,"zipf",0.04541015625,0.440466101694915,0.413848888118254
"31",0.45250625,0.452234375,0.466856060606061,0.472537878787879,33,1,32,3,4.5,0.0368255366524681,"zipf",0.04541015625,0.440466101694915,0.413848888118254
